FDM Themenbereich;RDM content aspect;Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];Lernziele [Kompetenzbereiche, Niveaustufe];Learning objectives [competence area(s) adressed, learning level(s)];;;
;;Bachelor ;Bachelor ;Master;Master;PhD;PhD;Data Stewards;Data Steward;;;
Grundlagen und übergreifende Konzepte;Basics and overarching concepts;;;wie Bachelor +;like Bachelor +;wie Bachelor + Master+;like Bachelor + Master +;wie Bachelor + Master+ PhD +;like Bachelor + Master+ PhD +;;;
Allgemeine Grundsätze und Konzepte des Forschungsdatenmanagements;General principles and concepts of research data management;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
"Inhalte: Definitionen von Forschungsdatenmanagement (FDM) und Forschungsdaten; Forschungsdatenlebenszyklus (FDL-Zyklus) und dessen Stationen; Relevanz von FDM; Geschichte des FDM; aktuelle Entwicklungen im FDM; wichtige Akteure; relevante Begriffe.";"Contents: Definitions of research data management (RDM) and research data; research data life cycle and its stages; relevance of RDM; history of RDM; current developments in RDM; important players; relevant terms.";... die Relevanz und Vor- und Nachteile von FDM für die Forschung allgemein sowie für die eigene Forschung beschreiben. [SK 2, SeK 1];... describe the relevance of RDM as well as advantages and disadvantages of RDM for research in general and for their individual research. [PC 2, SelfC 1];... Maßnahmen für gutes FDM in verschiedenen Stationen des FDL-Zyklus beschreiben. [SK 2];... describe measures for good RDM in research during different stages of the data life cycle. [PC 2] ;... Maßnahmen für gutes FDM in verschiedenen Stationen des FDL-Zyklus beschreiben und diese begründen. [SK 3];... describe and justify measures for good RDM in different stages of the data life cycle. [PC 3];...vermitteln, was FDM beinhaltet und weshalb es für Forschungsprozesse von Bedeutung ist. [SK 2, MK 3, SoK 3];... communicate what RDM entails and why it is important to research processes. [PC 2, MC 3, SC 3];;;
;;... die Definition von Forschungsdaten wiedergeben und verschiedene Formen von Forschungsdaten benennen. [SK 1];... define the term research data and to identify different forms of research data. [PC 1];... die Relevanz und Vor- und Nachteile von FDM diskutieren. [SK 2, SoK 2, SeK 2];... discuss the relevance and advantages and disadvantages of RDM in research. [PC 2, SC 2, SelfC 2];... allgemeine und spezifische Problemstellungen im Bereich des FDM erkennen und beschreiben. [SK 4];... recognise and describe general and specific problems in the field of RDM. [PC 4];... vermitteln, welche Maßnahmen für gutes FDM an den Stationen des FDL-Zyklus von Bedeutung sind. [SK 3, MK 3, SoK 3];... communicate which measures are important for good RDM at the stations of the data life cycle. [PC 3, MC 3, SC 3];;;
;;... den FDL-Zyklus beschreiben und dessen Stationen benennen. [SK 1];... describe the research data lifecycle and its stages. [PC 1];... allgemeine Problemstellungen im Bereich des FDM benennen. [SK 2];... name general problems in the field of RDM. [PC 2];... aktuelle Entwicklungen/ Initiativen, z. B. NFDI, EOSC benennen [SK 1];... name current developments/initiatives, e. g. NFDI, EOSC. [PC 1];...bezüglich sinnvoller Maßnahmen für gutes FDM an den Stationen des FDL-Zyklus beraten. [SK 3, MK 3, SoK 3];… advice reasonable measures for good RDM regarding the stages stages of the data life cycle. [PC 3, MC 3, SC 3];;;
 ;;;;... eigene Tätigkeiten in einem Forschungsprozess den Stationen des FDL-Zyklus zuordnen. [SK 2, SeK 2];... allocate own activities in a research process to the stages of the data life cycle. [PC 2, SelfC 2];;;... die Relevanz und Vor- und Nachteile von FDM für die Forschung allgemein sowie für die eigene Forschung aufzeigen und vermitteln. [SK 2, SoK 3, SeK 3];... teach/communicate the relevance of advantages and disadvantages of RDM for research in general and for individual research projects. [PC 2, SC 3, SelfC 3];;;
;;;;;;;;... zu den verschiedenen Aspekten des FDM (Daten, Datenlebenszyklus, Metadaten, FAIR-Prinzipien, Repositorien, Datenmanagementplan, Datenpublikation und -zitation, aktuelle Entwicklungen/ Initiativen: NFDI, EOSC, u. a.) Orientierung geben. [SK 2, MK 2, SoK 3] ;.. provide guidance on the various aspects of RDM (data, data life cycle, metadata, FAIR principles, repositories, DMP, data publication and citation, current developments/initiatives: NFDI, EOSC etc.). [PC 2, MC 2, SC 3] ;;;
;;;;;;;;... die Relevanz von FDM für gute wissenschaftliche Praxis vermitteln. [SK 4];…communicate the relevance of RDM for GSP. [PC 4];;;
;;;;;;;;... Problemstellungen im Bereich des FDM erkennen, analysieren und Lösungsstrategien entwickeln. [SK 5, MK 6];... recognise and analyse problems in the field of RDM and develop solution strategies. [PC 5, MC 6];;;
Forschungsdaten-Policies;Research data policies;Lernende können...;Learners are able to...;Lernende können...;learners are able to...;Lernende können...;Learners are able to...;Lernende können...;Learners are able to...;;;
